Time, y, x, Angle, D, BelowCut, Away
11, 168, 130, 90.000000, 0.046905,  0, 1 
11, 169, 130, 90.000000, 0.039465,  0, 1 
11, 170, 130, 90.000000, 0.027115,  0, 1 
11, 171, 130, 90.000000, 0.010887,  0, 1 
11, 172, 130, -90.000000, 0.007398,  0, 0 
11, 173, 130, -90.000000, 0.029958,  0, 0 
11, 174, 130, -90.000000, 0.055515,  0, 0 
11, 175, 130, -90.000000, 0.078712,  0, 0 
11, 111, 131, 90.000000, 0.075711,  0, 1 
11, 123, 131, 90.000000, 0.034428,  0, 1 
11, 124, 131, 90.000000, 0.029029,  0, 1 
11, 125, 131, 90.000000, 0.009830,  0, 1 
11, 126, 131, -90.000000, 0.010019,  0, 0 
11, 127, 131, -90.000000, 0.028303,  0, 0 
11, 128, 131, -90.000000, 0.040655,  0, 0 
11, 141, 131, 90.000000, 0.017786,  0, 1 
11, 142, 131, 90.000000, 0.011419,  0, 1 
11, 143, 131, 90.000000, 0.004601,  0, 1 
11, 144, 131, -90.000000, 0.000523,  0, 0 
11, 145, 131, -90.000000, 0.001716,  0, 0 
11, 146, 131, -90.000000, 0.000623,  0, 0 
11, 147, 131, -90.000000, 0.000087,  0, 0 
11, 148, 131, -90.000000, 0.000209,  0, 0 
11, 149, 131, -90.000000, 0.005105,  0, 0 
11, 150, 131, -90.000000, 0.011288,  0, 0 
11, 157, 131, 90.000000, 0.024030,  0, 1 
11, 158, 131, 90.000000, 0.037120,  0, 1 
11, 159, 131, 90.000000, 0.056331,  0, 1 
11, 160, 131, 90.000000, 0.072947,  0, 1 
11, 161, 131, 90.000000, 0.084615,  0, 1 
11, 162, 131, 90.000000, 0.088212,  0, 1 
11, 163, 131, 90.000000, 0.085037,  0, 1 
11, 164, 131, 90.000000, 0.079398,  0, 1 
11, 165, 131, 90.000000, 0.070249,  0, 1 
11, 166, 131, 90.000000, 0.059190,  0, 1 
11, 167, 131, 90.000000, 0.051223,  0, 1 
11, 168, 131, 90.000000, 0.045434,  0, 1 
11, 169, 131, 90.000000, 0.038047,  0, 1 
11, 170, 131, 90.000000, 0.025785,  0, 1 
11, 171, 131, 90.000000, 0.010092,  0, 1 
11, 172, 131, -90.000000, 0.007314,  0, 0 
11, 173, 131, -90.000000, 0.028827,  0, 0 
11, 174, 131, -90.000000, 0.053459,  0, 0 
11, 175, 131, -90.000000, 0.074264,  0, 0 
11, 176, 131, -90.000000, 0.087949,  0, 0 
11, 110, 132, 90.000000, 0.091315,  0, 1 
11, 111, 132, 90.000000, 0.104009,  0, 1 
11, 112, 132, 90.000000, 0.119562,  0, 1 
11, 113, 132, 90.000000, 0.126337,  0, 1 
11, 122, 132, 90.000000, 0.043089,  0, 1 
11, 123, 132, 90.000000, 0.042079,  0, 1 
11, 124, 132, 90.000000, 0.035409,  0, 1 
11, 125, 132, 90.000000, 0.017307,  0, 1 
11, 126, 132, -90.000000, 0.007327,  0, 0 
11, 127, 132, -90.000000, 0.030368,  0, 0 
11, 141, 132, 90.000000, 0.018088,  0, 1 
11, 142, 132, 90.000000, 0.009636,  0, 1 
11, 143, 132, 90.000000, 0.001987,  0, 1 
11, 144, 132, -90.000000, 0.001636,  0, 0 
11, 145, 132, 90.000000, 0.001226,  0, 1 
11, 146, 132, 90.000000, 0.007044,  0, 1 
11, 147, 132, 90.000000, 0.010123,  0, 1 
11, 148, 132, 90.000000, 0.010060,  0, 1 
11, 149, 132, 90.000000, 0.003380,  0, 1 
11, 157, 132, 90.000000, 0.037997,  0, 1 
11, 158, 132, 90.000000, 0.050530,  0, 1 
11, 159, 132, 90.000000, 0.065708,  0, 1 
11, 160, 132, 90.000000, 0.078486,  0, 1 
11, 161, 132, 90.000000, 0.087931,  0, 1 
11, 162, 132, 90.000000, 0.089865,  0, 1 
11, 163, 132, 90.000000, 0.086346,  0, 1 
11, 164, 132, 90.000000, 0.080878,  0, 1 
11, 165, 132, 90.000000, 0.071669,  0, 1 
11, 166, 132, 90.000000, 0.060034,  0, 1 
11, 167, 132, 90.000000, 0.051489,  0, 1 
11, 168, 132, 90.000000, 0.045521,  0, 1 
11, 169, 132, 90.000000, 0.038323,  0, 1 
11, 170, 132, 90.000000, 0.026876,  0, 1 
11, 171, 132, 90.000000, 0.013018,  0, 1 
11, 172, 132, -90.000000, 0.002590,  0, 0 
11, 173, 132, -90.000000, 0.022868,  0, 0 
11, 174, 132, -90.000000, 0.046881,  0, 0 
11, 175, 132, -90.000000, 0.067226,  0, 0 
11, 176, 132, -90.000000, 0.080736,  0, 0 
